排名/年,year,name,box,score,导演,卡司,id
162,2017,神奇女侠,60772.6,7.1,派蒂·杰金斯,"盖尔·加朵, 克里斯·派恩, 康妮·尼尔森, 罗宾·怀特, 大卫·休里斯",1578714
201,2017,变形金刚5：最后的骑士,154561.8,4.9,迈克尔·贝,"马克·沃尔伯格, 安东尼·霍普金斯, 乔什·杜哈明, 劳拉·哈德克, 桑地亚哥·卡布瑞拉",25824686
231,2017,悟空传,69653.3,5.1,郭子健,"彭于晏, 倪妮, 余文乐, 俞飞鸿, 欧豪",26035290
232,2017,大护法,8759.8,7.8,不思凡,"小连杀, 图特哈蒙, 金士杰, 幽舞越山, 李佳怡",26811587
239,2017,闪光少女,6466.2,7.2,王冉,"徐璐, 彭昱畅, 刘泳希, 鲁照华, 韩忠羽",26790961
246,2017,战狼2,567868.8,7.1,吴京,"吴京, 弗兰克·格里罗, 吴刚, 张翰, 卢靖姗",26363254
331,2017,缝纫机乐队,45671.2,6.6,大鹏,"大鹏, 乔杉, 古力娜扎, 李鸿其, 韩童生",26926321
333,2017,追龙,57465.2,7.2,"王晶, 关智耀","甄子丹, 刘德华, 姜皓文, 郑则仕, 刘浩龙",26425068
335,2017,羞羞的铁拳,220174.9,6.8,"宋阳, 张吃鱼","艾伦, 马丽, 沈腾, 田雨, 宋阳",27038183
444,2017,芳华,142241.3,7.7,冯小刚,"黄轩, 苗苗, 钟楚曦, 杨采钰, 李晓峰",26862829
446,2017,妖猫传,52998.2,6.9,陈凯歌,"黄轩, 染谷将太, 张雨绮, 秦昊, 张榕容",5350027
449,2017,解忧杂货店,22406.2,5.0,韩杰,"王俊凯, 迪丽热巴, 董子健, 李鸿其, 董李无忧",26654146
453,2017,前任3：再见前任,194049.4,5.6,田羽生,"韩庚, 郑恺, 于文文, 曾梦雪, 罗米",26662193
7,2018,无问西东,75387.8,7.5,李芳芳,"章子怡, 黄晓明, 张震, 王力宏, 陈楚生",6874741
55,2018,唐人街探案2,339768.8,6.6,陈思诚,"王宝强, 刘昊然, 肖央, 刘承羽, 尚语贤",26698897
56,2018,捉妖记2,223665.6,4.9,许诚毅,"梁朝伟, 白百何, 井柏然, 李宇春, 杨祐宁",26575103
58,2018,红海行动,364726.2,8.2,林超贤,"张译, 黄景瑜, 海清, 杜江, 蒋璐霞",26861685
85,2018,环太平洋：雷霆再起,63263.7,5.4,斯蒂文·S·迪奈特,"约翰·博耶加, 卡莉·史派妮, 斯科特·伊斯特伍德, 景甜, 伯恩·戈曼",20435622
100,2018,暴裂无声,5420.9,8.2,忻钰坤,"宋洋, 姜武, 袁文康, 谭卓, 王梓尘",26647117
125,2018,后来的我们,136095.0,5.9,刘若英,"井柏然, 周冬雨, 田壮壮, 曲哲明, 刘启恒",26683723
149,2018,超时空同居,89966.8,6.8,苏伦,"雷佳音, 佟丽娅, 张衣, 于和伟, 王正佳",27133303
203,2018,动物世界,50898.7,7.2,韩延,"李易峰, 迈克尔·道格拉斯, 周冬雨, 曹炳琨, 王戈",26925317
218,2018,邪不压正,58276.5,7.0,姜文,"彭于晏, 廖凡, 姜文, 周韵, 许晴",26366496
242,2018,一出好戏,135131.9,7.1,黄渤,"黄渤, 舒淇, 王宝强, 张艺兴, 于和伟",26985127
243,2018,爱情公寓,55472.2,3.2,"韦正, 齐峻","陈赫, 袁弘, 娄艺潇, 邓家佳, 孙艺洲",24852545
244,2018,巨齿鲨,104890.2,5.7,乔·德特杜巴,"杰森·斯坦森, 李冰冰, 雷恩·威尔森, 鲁比·罗丝, 赵文瑄",26426194
248,2018,快把我哥带走,37409.6,6.8,郑芬芬,"张子枫, 彭昱畅, 赵今麦, 孙泽源, 周翊然",30122633
264,2018,碟中谍6：全面瓦解,124203.4,8.1,克里斯托弗·麦奎里,"汤姆·克鲁斯, 亨利·卡维尔, 文·瑞姆斯, 西蒙·佩吉, 丽贝卡·弗格森",26336252
