$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1306160$新警察故事$安蓝·怪伯爵𓆝𓆟𓆜$2009-08-29 22:03:19$667$看过的吴彦祖的片里形象最好的一部。ps，惊现孙淳
181$1306160$新警察故事$谢谢你们的鱼$2021-09-22 20:42:55$4$十几年之后影院重看，从四星改成五星，绝对是堪称伟大的香港动作片，也是成龙、陈木胜最好的作品。人物塑造、场面、节奏、情感渲染，各方面无可挑剔，真心觉得吴彦祖的反派有可能影响了《黑暗骑士》的小丑，谢霆锋那套致敬《跳跃大搜查线》的服装也很妙，港片不会再有这样的巅峰之作了！
182$1306160$新警察故事$種瑜$2017-01-03 17:53:12$2$“我爸爸让我当警察 说警察最有正义感了”
183$1306160$新警察故事$Jessie Li$2012-03-23 20:22:51$2$一看到阿祖我就欢喜地看下去了~~~香港警匪片里面不错的了
184$1306160$新警察故事$francisca$2008-09-01 11:02:16$0$i thought Yeung was Jackie's daughter
185$1306160$新警察故事$WIKI魏$2014-01-31 20:50:05$0$看了警察故事2013才知道这部真算不错了
186$1306160$新警察故事$不穿内裤的清凉$2014-04-16 00:30:22$0$重复看了十几遍 因这部片子喜欢上了吴彦祖
187$1306160$新警察故事$Obtson$2009-04-18 16:29:34$2$唤回对警察故事的记忆
188$1306160$新警察故事$Skybow$2008-10-01 06:22:24$0$有些沉重的片子，成龙的打斗动作也就没有了他在其它作品中所表现出来的诙谐。而且这片子里的香港警察也太狼狈了，被五个抢银行的小P孩搞得灰头土脸，而且还死了很多人，这也实在太扯了——小P孩们手里也就几把自动步枪而已。总体感觉这片子没什么好说的，作为成龙的电影，只能算是不过不失吧，谢霆锋在片中的表现还不错，至少比《无极》中顺眼多了。另外，又看到伍佰客串，他好像挺喜欢客串电影的，不过这次这个角色也太倒霉了，刚出场就被车撞死了，汗。还有黄玉郎，好像是客串一个狱卒，不知道这些人是以什么心态客串电影的，呵呵。
189$1306160$新警察故事$西楼尘$2015-05-15 22:25:48$9$打斗戏很酷，成龙大叔纠结的心理救赎。港片在童年的心理种下了种子，若干年后依然记得超帅的反派吴彦祖那颗求死的空枪，谢霆锋的那件墨绿色风衣。
190$1306160$新警察故事$习习龙卷风$2009-02-03 17:13:36$0$第一次看成龙被打的那么惨
191$1306160$新警察故事$巴眨巴眨眼$2012-05-25 23:49:19$0$我老公最帅的片子~~~
192$1306160$新警察故事$泰坦$2011-05-31 23:26:50$1$没有逻辑啊
193$1306160$新警察故事$ck  star$2010-01-29 18:28:20$0$一般
194$1306160$新警察故事$magicdreamin$2012-03-28 16:28:09$0$这是我认为警察故事系列中最好的一部
195$1306160$新警察故事$大海$2011-04-15 15:06:16$0$不如老版经典。。。
196$1306160$新警察故事$stoned.$2009-09-08 19:49:03$0$覺得還不錯啊其實
197$1306160$新警察故事$金小神$2008-02-22 14:45:59$0$我记得这部还不错
198$1306160$新警察故事$井谷射鲋$2009-12-05 00:20:45$0$高一看过的片子。
199$1306160$新警察故事$大智若鱼$2009-01-30 21:38:32$0$新新人类果然可怕
200$1306160$新警察故事$品客$2008-09-05 23:07:07$0$比想像的要好
201$1306160$新警察故事$希夷子$2012-03-28 14:39:28$3$CCTV6放过N次
202$1306160$新警察故事$鉛筆04$2009-01-17 19:40:09$0$還行
203$1306160$新警察故事$安非$2011-06-05 23:53:35$0$看过好几遍
204$1306160$新警察故事$静下来$2008-08-10 18:57:51$0$一帮小的有看头
205$1306160$新警察故事$囧之女神daisy$2007-11-19 12:04:18$0$很难看,很白目
206$1306160$新警察故事$▂▃▆▇▆▃▂$2008-08-09 03:26:08$0$尹子维
207$1306160$新警察故事$不如的我的$2007-05-13 14:50:10$0$以前看的
208$1306160$新警察故事$小妙妙$2011-09-15 19:37:37$0$警察
