$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
130$1307023$神话$小A$2017-01-29 17:38:07$2$具体的情节设计确实有问题，台词也不够精彩，但起码故事线是连贯有趣的，唐季礼为啥不和王蕙玲继续合作了啊。
131$1307023$神话$蓝人$2011-12-31 00:20:25$0$成龙老了，你还能吃饭呢？
132$1307023$神话$裸奔的香蕉$2010-04-07 17:37:14$1$刺陵比这部片好看多了.. 稍稍被片中歌曲感动过 印度大波妹是亮点
133$1307023$神话$莉莉安$2017-07-18 02:53:16$3$算是情怀所在吧，第一次在家里看蓝光版，对那段穿越着迷过，迷惘过。对最后的结局惋惜过，金喜善是真美啊。我有时候会想，假如扶苏没死，秦朝还会延续吗？
134$1307023$神话$水红$2010-10-09 00:21:30$1$火车站重看神话，其实，还是挺热闹的，就是可怜最近成龙大哥运气不佳
135$1307023$神话$FlierSue$2011-06-19 16:30:10$2$中规中矩吧，既不能说突出也不能说太差。节奏比较松散不紧凑，而且故事情节实在太弱。
136$1307023$神话$月球漫舞者$2008-09-05 14:36:10$0$主题曲还是不错的，电影也还行
137$1307023$神话$徐志摩小伯伯$2010-02-05 20:33:02$0$"记得当时看过觉得还行
然后听姐姐说她先后看了三次,直到下片,还每次都感动得不行~~

最近想到它是因为电视剧神话,实在受不了~~想不懂好好的一个故事90分钟就能讲清楚(而且还挺感人),干嘛非要拉成几十集

"
138$1307023$神话$你爹语重心长$2017-03-23 19:32:41$3$剧情还好，但金喜善和成龙组合囧囧的。。
139$1307023$神话$KL$2009-01-06 00:11:14$0$"马马虎虎的商业片~

成龙的船房真漂亮。"
140$1307023$神话$LEMON$2017-05-31 22:31:42$2$大哥大概不适合凄美的爱情故事，看的过程入不了戏，不过动作打斗还是可以的，很成龙式～
141$1307023$神话$刘小青$2010-07-01 14:48:32$2$哎，成龙太老了，也不打肉毒杆菌，这不折磨我们观众嘛
142$1307023$神话$atengbriliance$2007-07-30 17:19:09$0$"怎么说呢？演员喜欢？
其实情节还是有时代特色啦！
只是千年不死，太夸张了！"
