$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26270502$绣春刀II：修罗战场$小鬼家的师公$2017-07-15 17:06:00$1696$“由于经费用完，所以只能自己做了”
84$26270502$绣春刀II：修罗战场$三七莲华$2017-07-22 23:56:11$36$如果没有女主猪队友和最后砍不砍吊桥这两个太明显的破绽可以打五星的。杨幂古装好美，有几个镜头好美，然而这人物太特么花瓶了，感情戏也太尬了毫无火花。配角都太抢戏了，我太喜欢雷佳音了，张译也演得极好。故事有点拖，但总体是上乘之作。
85$26270502$绣春刀II：修罗战场$陈苍苍$2017-07-25 14:09:28$28$三星半。挺好看的，那个球球应该是龙门飞甲以后最有新意的兵器设计了。不觉得雷佳音有多好，印象最深的是刘端端演的信王。以及所有配角加起来都没有第一部的丁修有戏。
86$26270502$绣春刀II：修罗战场$国王KING$2017-09-23 10:07:17$47$杨幂，败笔。
87$26270502$绣春刀II：修罗战场$赵启辰$2017-07-21 00:34:07$36$真不错，带起了一个相当靠谱的班底和一众演技在线的电影级演员，人物关系织得真的好，差一口气在杨幂身上，演技最怕比较，从她的表演里看不到北斋和沈炼的感情，观众对结尾断桥一场的情感共鸣就不到位，张震再用力也救不回来
88$26270502$绣春刀II：修罗战场$Jamin$2017-07-15 23:24:35$157$个人更喜欢第一部，总体感觉还不错，画面质感都很棒，张震、张译、雷佳音都不错。但是一直想不通，把刘诗诗换成杨幂有任何区别吗？杨幂在我看来还不如刘诗诗呢；同样断气一样的台词，但人家刘诗诗好歹还有颜值。
89$26270502$绣春刀II：修罗战场$焚紙樓$2017-11-17 11:26:49$65$要嘛杨幂是個錯誤，要嘛杨幂以外的都是錯誤。
90$26270502$绣春刀II：修罗战场$Ocap$2017-07-21 13:20:20$26$失望，估计就我一个人觉得不如第一部吧。看在美术和大部分人的表演上，非常勉强三星。致命bug不是情节而是行走的某人（其实也就包含情节了），一点说服力都没有...从被救就一直别扭到结束。就不能阻止强奸后一刀砍下去完事儿吗？张震不仅渣男，审美也挺分裂的。
91$26270502$绣春刀II：修罗战场$春城孤鹤$2017-07-18 18:52:54$165$狗尾续貂，个人觉得没有第一部好看，杨幂是最大的败笔，演技烂到家，原音真难听，她一说话就跳戏到小时代
92$26270502$绣春刀II：修罗战场$完颜穆尔登格$2017-07-17 00:18:22$231$去了首映式，绣春刀应该算国产片中优秀作品了吧。张震男二男三，尤其崇祯贡献了很好演技。第一部是刘诗诗面瘫+令人宫缩的声音减分，第二部是杨幂的尴尬表演，全程保持着被笼子圈起来的鸡崽子的蜜汁表情。还有诸多bug，北京怎么跟苏州似的绿油油到处河流，妈蛋写不下了长评见
93$26270502$绣春刀II：修罗战场$恶魔的步调$2017-07-19 22:13:12$113$多么严肃一正剧，演职人员表字幕最后来个猝不及防的笑点。
94$26270502$绣春刀II：修罗战场$周沐君$2017-07-21 22:05:06$48$《绣春刀》果然是《世界上为什么会有女人不爱张震》系列。
95$26270502$绣春刀II：修罗战场$艾晨$2017-07-15 17:02:29$51$三星半吧。这部电影告诉我们，喜欢打小报告的人是没有好下场的。
