$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
58$27605698$西虹市首富$娱乐圈梗姐$2018-07-27 10:22:34$1102$很久没有冲动给一部电影打五星了！看完《西虹市首富》后非常激动，两位导演打磨的剧本近乎满分，沈腾和宋芸桦这对CP也非常的恶搞有爱，而且电影中的喜剧笑点张弛有度，真的做到了让观众笑着哭。相比第一部电影《夏洛特烦恼》，个人感觉本片完美超越，期待最终的票房成绩吧！
59$27605698$西虹市首富$柯里昂$2018-07-27 23:48:19$666$行吧，开心麻花也可以正式从电影界拉黑了，造成的厌恶程度不亚于《缝纫机乐队》，前几部商业上成功造成的夜郎自大，实际上是创作者乞讨姿态和肚里无货的原形毕露。吃相尤其难看，一部从台前到幕后，从主题到内容，从计划到手段，从初衷到目标，都急不可耐地向10个亿看齐的影片，也就这么点骨气了。
60$27605698$西虹市首富$深蓝$2018-07-28 00:06:54$337$这个6.4绝对是被黑了，这个水平至少有7.5以上，笑点一点不比其他的麻花作品有任何缩水，品质是保持住了的。
61$27605698$西虹市首富$第七大陸$2018-07-27 14:50:14$519$物化女性直男癌，硬尬功夫足球，开心麻花这么愿意做这样的喜剧：比之前两部硬尬低俗只多不少，讽刺力度一部一部弱下去，变成段子拼贴和逮住一个点就死磕，无线索无逻辑无智商。这与好的喜剧是完全两条道路，醒醒！
62$27605698$西虹市首富$frozenmoon$2018-08-07 17:19:45$32$晚了一周才看，只说搞笑方面，这算是开心麻花中最不搞笑的一部。当然，笑点不普世，泪点才普世，这也没办法。女主角是个很大的问题，整个气质和沈腾完全不在一个空间里，看着都替沈腾累。
63$27605698$西虹市首富$Hey Johnny$2018-07-28 19:52:25$40$我的笑点可能和正常人不太一样……看完很努力的回想也想不起来笑点在哪儿。
64$27605698$西虹市首富$麻绳$2018-07-29 08:23:14$42$无新意的搞笑，无逻辑的剧情，莫名其妙的煽情，都是当今小品创作的标配，而这个在加长小品里算是能看的，只是因为沈腾确实很出色。那场足球羞耻PLAY，真是让人哭笑不得，尴尬到死。
65$27605698$西虹市首富$明安$2018-08-02 18:48:22$34$笑不出来
66$27605698$西虹市首富$西楼尘$2018-07-28 22:38:13$277$看到王多鱼开的险种我都绝望了，减脂险分明是虐待吧，居然还有人说他在搞慈善？想挥霍十亿别投股票和初创项目，为啥不考虑一下投资中国足球？钱可以撕开演说家的伪善嘴脸，堵住媒体人的夸夸其谈，把喜欢的女孩贴满大街小巷，给失败的比赛颁个巨大的奖牌。都在想怎么花掉十亿，其实兜里还没十块钱零钱。
67$27605698$西虹市首富$bird$2018-07-27 23:26:59$159$借着拍电影的名义大吃大喝 再拉着观众拿钱一起意淫 这可真不是什么值得称赞的事 麻花电影最后想要输出的东西 总要先砸个稀巴烂 再重建 这真是一个媚众而品格不值钱的时候 这种处处算计、输入不伦不类的作坊产物 更是电影界的毒瘤 越回味越恶心
68$27605698$西虹市首富$丁一$2018-08-03 21:19:56$17$"这是最好的时代，
这是最坏的时代，
这个时代的通病，
是穷病。
这是最好的电影，
这是最坏的电影，
电影不是药神，
电影只是药引子，
打一针戊戌盛世的疫苗，
排排坐在塑料大棚里，
看看有钱人的彩色世界，
想想天上掉下十个亿。
说它好的，
怕显的不够高级，
嫌它不够高级的，
把自己弄成黑白，
半个小时后才肯出片名。
荒诞是这个时代的编剧，
扮演丑角的戏子上来，
请示要演哪一出，
西门庆道：我不管你，只要热闹"
69$27605698$西虹市首富$欢乐分裂$2018-11-01 22:30:43$29$迎合暴富心理的低端爽，最终仍是验证“钱是万能的”，资本操控一切。另外，10亿哪有那么难花？我分分钟能花完。
70$27605698$西虹市首富$JustZero$2018-07-27 01:02:16$247$2星半，剧情改编80年代美国片，酿酒师的百万横财，加上低俗的段子和YY ，虽然还挺搞笑的，不过中国电影钱还是好赚
71$27605698$西虹市首富$绯色_神仙$2018-07-27 10:14:41$297$非常好看的爆笑喜剧，看的人笑的停不下来。主题深刻，令人笑过之后，尽是深思。
72$27605698$西虹市首富$mlln$2018-07-28 00:18:41$125$满分。笑skr人。
73$27605698$西虹市首富$五色全味$2018-07-31 21:50:52$149$這也叫電影？！這麼惡俗猥瑣的笑點和粗糙的製作，還不如當年的朱延平和王晶，票房這麼好，主流審美真是墮落
74$27605698$西虹市首富$南悠一$2018-07-27 09:40:59$107$视听技巧非常糟糕。但还是要为“脂肪险”打个call，准确反映出现代人类的某种困境。
75$27605698$西虹市首富$柠檬海盐$2018-07-28 13:35:01$142$尴尬又无聊，整体格调低俗
76$27605698$西虹市首富$马达$2018-07-31 22:30:56$102$非常讨厌和反感以及身体不适，完全是一部中年油腻直男癌 loser 的幻想
77$27605698$西虹市首富$加斯珀哥哥$2018-07-28 07:06:40$128$不懂为什么对“恶俗”“滥俗”的要求要那么高。荒诞本身就是一种脱离现实的自我把玩和嘲弄。真的是一部可以开怀大笑的电影了，喜剧的悲剧人物内核也把握的很好。美中不足是人物的意外事件和自身梦想没有直接的联系和驱动，如果多在足球梦想上架构一下文章就好了。但瑕不掩瑜。让我笑得肚子疼已经够了。
78$27605698$西虹市首富$Morning$2018-07-30 08:46:32$59$一星半。电影浪费了宋芸桦，她所交出来的东西放在这样的电影里着实可惜。电影也常常处在暧昧不明的态度，不知道是否在讽刺金钱，因为总要将时间分配给段子，而不是真正的主题。有一场戏是人人都说我有一个梦想，然后在会议桌上群魔乱舞，将梦想与金钱划上联系，这样的情节放在电影里也是很难辨其主旨的，说是讽刺，它却是正当花钱的一部分，说不是讽刺，这样的场面又过于魔幻。不过这部电影的存在反而是极大的讽刺，它令我想到，在当下的社会，层出不穷的如此品质的电影就等于十亿元，有理由让人去接受一切，给人以洗脑的作用。王力宏的出场是加分，拍得很帅，音乐也救了没有感情的感情戏。
79$27605698$西虹市首富$守夜小猪$2022-01-11 14:57:02$48$建议应该拍一部反映豆瓣装逼文青的片子，一个个太他妈能装了
80$27605698$西虹市首富$小片片说大片$2018-07-28 19:54:00$82$这个世界本就如此，富人只会越来越富，我等穷人只求能守住0比9的比分，不至于连底裤都输掉就好。
81$27605698$西虹市首富$突然粉碎$2018-07-24 23:18:01$25$开心麻花终于不做白日梦了，开始认认真真扯淡，努力抖包袱接地气却还是戒不掉低俗喜剧的陋习，处处散发着直男癌之气…前半小时简直浮夸之极俗不可耐，后来竟然能看了，腾妹加分，力宏粉丝滤镜厚，艾伦帅的差点没认出来，最惊喜的当然是我妈偶像张晨光蜀黍，总言之还是笑不出来…
82$27605698$西虹市首富$潇湘烟雨$2018-07-28 17:14:59$92$这评分是认真的？烂俗而不好笑的喜剧片，全程尴尬
83$27605698$西虹市首富$A for Vendetta$2018-07-25 02:07:32$149$"讲真，宋芸桦是很好的演员，之前口碑很不错的，接这个戏却得了不少骂名，因为真的真的不适合她！不知道没用马丽的原因是什么，羞羞故事已经很差了，好歹还有演员撑着，这部戏全靠沈腾一个人扛，人物线生拉硬拽... 
见面会的时候导演问""夏洛特“好看还是这部片好看，没有人好意思大声回答，都在嘟囔着“夏洛特”好看，讲良心，麻花的片子真是一部比一部走下坡路！"
84$27605698$西虹市首富$人生啊地不熟$2018-07-24 19:17:22$90$全程尬笑 笑点不高级 但国内观众吃这套 王力宏贡献全片高潮
85$27605698$西虹市首富$Sinmpa$2018-11-29 00:13:22$5$av你妹  是脑残了写不出梗来了还是脑子里长泡了  恶趣味的梗  先给米兰球迷道歉好吧
86$27605698$西虹市首富$小川叔$2018-07-29 11:03:01$50$什么玩意儿？？全程都很尴尬，完全没有笑，这个题材三俗，一直守到结尾，以为会有一个大反转。结果居然等来了一出球队的煽情戏。可是这跟大主题有什么关系？这段想突出什么？虽败犹荣吗？沈腾贡献了堪比二人转还尴尬的演技。。而且是真的胖成一个球。胖不可怕，可怕的是跟台湾女生组cp这件事儿。这是在满足所有中年大叔，内心的意淫吗？细思极恐的是这个情节让人觉得只要你有钱，傻子也投资也能富。。。。你确定？
87$27605698$西虹市首富$尹天雪$2018-07-29 22:48:52$24$不太算开心麻花作品吧，笑点效果不是一个等级的，不过也还算不错的，为看沈腾叔叔哈哈哈，怎么都喜欢，艾伦也越来越帅了
88$27605698$西虹市首富$BEAN$2018-07-25 11:23:53$139$女主角的动机和目标是？
89$27605698$西虹市首富$Noodles$2018-07-27 21:18:18$65$靠段子拼凑出来的喜剧真的不高级
90$27605698$西虹市首富$Mr沛过日子$2018-07-27 19:54:19$52$恶搞！不要尊严的恶搞！搞得人不要尊严！真TM恶心，改名恶心麻花吧！
91$27605698$西虹市首富$lastwind$2018-07-27 14:21:37$317$"呃，好尴尬，超过12岁的小朋友都不怎么笑得出来……

超俗套的故事和感情戏……眼镜妹明显借鉴周星星的百变星君"
92$27605698$西虹市首富$咫尺凌绝$2018-07-24 23:23:40$58$112号。开心麻花没让我失望！只是这要溢出屏幕的油腻是怎么回事……能不能集体减减肥！
