$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1961963$长江七号$颜良辰$2008-02-12 12:13:47$2352$"你相信我看这部片看哭了吗。
186$1961963$长江七号$吃咸梅干變超人$2008-02-14 19:27:41$0$其实挺无趣的  不是我厌了就是我喜感想吐了
187$1961963$长江七号$慢点儿$2008-02-05 08:45:10$0$56
188$1961963$长江七号$肥丝$2008-04-24 17:40:58$0$水准太一般
189$1961963$长江七号$Ume$2008-02-23 00:21:39$0$有些失望
190$1961963$长江七号$私奔去远方.sh$2008-10-30 09:05:44$0$小女孩演的小男孩不错
191$1961963$长江七号$Oo龙芽oo$2011-07-28 15:36:55$0$星爷的味道消失殆尽。
192$1961963$长江七号$阿翔需要美少男解毒！$2008-10-21 23:07:02$0$我受不了打击。
193$1961963$长江七号$Crazy Wen$2010-03-10 14:10:48$0$···
194$1961963$长江七号$德拉库拉拉$2008-02-10 22:42:31$0$2008-2-10 22:40:45 7/6.5(1652)  换个心态，换个角度，应该看到头发花白的周星驰做出的努力
195$1961963$长江七号$celestebook$2011-06-05 17:59:46$0$已经是要拖着看了
196$1961963$长江七号$flyingzorro$2008-06-07 19:10:39$0$比想象中好啊,不过周星驰这点戏也算主角么...
197$1961963$长江七号$淡定哥走路带风$2008-06-30 21:15:40$0$"不再笑了~~~~~



认识现实，别无选择！！"
198$1961963$长江七号$猫猫eko$2008-02-15 17:23:59$0$还是有一些搞笑的地方的。比如倒霉老师的脸……幸福果然是消极的。幸福是不通过努力就可以得到。所有的美好都是要通过努力去获得的。让人很困惑。农民工的生命需要太空狗去救。看着很辛酸。
199$1961963$长江七号$弃$2008-03-15 00:45:58$0$真是不错
200$1961963$长江七号$康斯坦丁$2010-12-23 15:07:04$0$其实很幼稚。。。
201$1961963$长江七号$润物$2008-04-10 00:54:11$0$大家都对周星驰要求比较高，期待比较高，我也一样。对于我来说我希望他永远停留在周星星的电影中，那是属于他的电影。而星爷在变，而且不知道为什么变成了这样，是拍给孩子看的电影吗？有点儿不明白，至少接受不了这样的周星驰。而这部影片给我留下最深印象的竟然是几首复古的舞曲，唉。
202$1961963$长江七号$好奇心$2008-01-31 20:33:52$0$怎么星爷越来越吕克贝松了...
203$1961963$长江七号$迷影网$2008-10-21 15:51:36$0$不懂中文的小宝贝也能看得不亦乐乎，顶星爷！
204$1961963$长江七号$Cypher$2008-04-06 08:45:33$0$"恶搞无涯 回头是岸   
真是让人失望  
最不该拿穷人开涮"
205$1961963$长江七号$怀山鹿$2008-03-23 00:52:33$0$星爷不上不下的较尴尬的作品~
206$1961963$长江七号$本无缰$2008-12-28 00:32:20$0$温情片，教育片。星爷换套路了，不商业了
207$1961963$长江七号$孔雀白$2008-10-17 21:52:53$0$很一般
208$1961963$长江七号$小白不再$2008-09-11 22:15:23$0$不觉得有多么好看
209$1961963$长江七号$教主饶命$2009-10-10 11:31:54$0$不好看啊
210$1961963$长江七号$文饭糕$2008-09-01 22:19:39$0$星爷在首映礼上抓了很多寿桃
211$1961963$长江七号$AkaneAntares$2009-12-29 23:30:31$0$其實係一部low tech嘅現代粵語殘片?不過7仔真係好可愛
212$1961963$长江七号$-Lovi。$2010-04-25 13:18:13$0$小孩表现太一般了。
213$1961963$长江七号$戈戈$2008-05-09 15:26:55$0$想买一个长江七号玩啊～～
214$1961963$长江七号$Mannialanck$2010-06-02 23:49:30$0$6。
215$1961963$长江七号$爛棉花$2008-03-02 16:19:29$0$笑过哭过，有什么不好？
216$1961963$长江七号$孙道德$2011-11-29 22:41:49$0$星爷老矣，尚能饭否
217$1961963$长江七号$文森从牛A到牛C$2011-09-25 12:52:39$0$星爷老了
218$1961963$长江七号$阿苏$2008-12-28 00:21:44$0$居然有点小感动……片中最不和谐的就是那些硬搞笑，纯温情就够了啦
219$1961963$长江七号$orange$2008-01-31 20:15:39$0$徐娇表现相当不错
220$1961963$长江七号$愚$2012-06-18 08:52:10$0$其实没什么好看的。。
221$1961963$长江七号$Kulty$2010-07-24 15:41:45$0$有遗憾才有了及格分
222$1961963$长江七号$潘地曼尼南$2011-04-29 22:24:47$0$看过很多遍，基本上都是陪弟弟妹妹看的，很感动，但感动的程度随着看的遍数的增加在减少~
223$1961963$长江七号$阿暖$2019-01-22 22:42:29$1$开玩笑 豆瓣又吞我标记？？？这可是把我妈妈看哭的电影（然而我也有很多年不和妈妈一起看电影了）
224$1961963$长江七号$阿别给我打电话$2017-06-05 11:36:09$5$老实说一直不太能get到星爷的点，这部算是get得到最到位的了
225$1961963$长江七号$烟视媚行$2009-03-02 20:29:30$0$不感动，但还是挺喜欢的
226$1961963$长江七号$SonicDe$2011-04-29 23:38:03$0$看着挺欢乐的~
227$1961963$长江七号$瓣饭无味$2010-01-15 21:25:34$0$真不是我说.....转型转的有点囧！
228$1961963$长江七号$友邻广播$2011-07-23 21:11:10$0$我一直以为它是鸡。。。。小狄这个名字太内涵了！这个动物要火！星爷果然势利
229$1961963$长江七号$哈酷$2012-01-25 00:47:54$0$适合儿童大人一起看
230$1961963$长江七号$就叫我铿爷吧$2008-04-18 22:08:46$0$看在星爷的面子上，多给一颗。
231$1961963$长江七号$。。。$2008-02-15 20:10:45$0$有点失望的说
232$1961963$长江七号$宝珠$2013-01-26 10:49:41$0$2008年。
233$1961963$长江七号$暖暖$2008-04-01 22:28:34$0$不觉得好看
234$1961963$长江七号$楊大叔$2010-01-13 22:46:31$0$不看你搞笑了    看别人真的笑不起来
235$1961963$长江七号$只手撕天$2011-10-20 01:48:02$0$星爷彻底老了，已然沦落为一个毫无生命力的票房符号。
236$1961963$长江七号$Nightwing$2008-09-04 02:43:35$0$边吃晚饭边看还是不错的
237$1961963$长江七号$Country Mile$2015-02-01 02:45:09$4$好看
