$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$4873490$失恋33天$哈维尔$2011-11-03 23:55:55$2834$"  真正失恋要经过三个阶段：第一阶段当然丧尽自尊，痛不欲生，听到他的名字都会跳起来。第二阶段故作忘记，避而不提伤心事，可是内心隐隐作痛。到了最后阶段，他的名字与路人一样，不过是个名字，一点儿特别意义都没有。
                                   "
109$4873490$失恋33天$摩西不夜奔$2011-11-07 00:42:52$15$在这个无法指望一部国产爱情片能拍成经典或者精品的时代，这部电影可以做国产商业喜剧爱情片的一个指标。冲它接地气，给4星。
110$4873490$失恋33天$荔枝蜜薄荷苏打$2018-02-12 13:12:08$40$“身边还站着一喘气的，你瞎啊”。王小贱，看起来娘娘的，其实内心很爷们了。多少年修的一个王小贱来着？演员演的很不错了。奈何戏外现实抓马一出又一出。
111$4873490$失恋33天$淘金汉$2011-11-04 13:31:02$1$好看好看
112$4873490$失恋33天$叶酱$2011-11-19 00:25:50$8$除了王小贱很有爱之外我真的没什么感觉呀~~印象比较深刻倒是那个老板说为什么找这样的女人，是因为省事。复杂的女人没人爱，对大多数男人来说是真理。
113$4873490$失恋33天$Aline$2011-11-06 23:10:40$3$看了小说，犀利的对白。。。很爽的说
114$4873490$失恋33天$老晃$2011-11-06 20:30:36$2$劈啊……啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
115$4873490$失恋33天$馥芮白🃏$2012-06-18 13:48:28$0$在豆瓣怎敢说它坏话……我妈都说就那样     2021.9.5 看过
116$4873490$失恋33天$.Bambi$2012-06-18 23:08:31$0$片子有点刻意和观众找共同感，没掩盖的住俗气的味道
117$4873490$失恋33天$库索$2011-11-12 18:56:49$2$Gay蜜片一枚，鉴定完毕。
118$4873490$失恋33天$胤祥$2011-11-25 03:48:48$7$只有前30分钟真正用了心，很多转场方式让人耳目一新，剪辑节奏也很好。后面迅速蜕变成电视剧，问题在于每一场只有原著三分之一剧情容量，若非原著党定然情绪不到，累积到最后看不明白，只剩下莫名其妙的狗血。数字拷贝色彩惨不忍睹。白百何戏路怎么那么像姚晨。总之，赚到钱才是硬道理。
119$4873490$失恋33天$二极管$2012-05-25 23:09:10$1$结尾处老年夫妻那段很没出息的看哭了，似乎电影的点儿也不在这儿吧。所以我觉得还是不错的。
120$4873490$失恋33天$ᥫ᭡້໌$2017-03-23 13:21:49$7$王小贱贱的人好爽。
121$4873490$失恋33天$皮卡皮卡$2012-05-25 20:21:53$0$电脑上快进看的挺有意思~ 不过看过了就忘了
122$4873490$失恋33天$伯樵·阿苏勒$2011-11-11 03:53:55$1$很有诚意......结尾有点烂俗......拍喷泉的那地我常去......
123$4873490$失恋33天$711|湯不餓$2011-11-08 16:38:28$3$。。。求一王小贱
124$4873490$失恋33天$教主饶命$2012-06-17 17:39:59$0$能看
125$4873490$失恋33天$57$2011-12-26 23:03:36$5$王小贱是想形婚吧！结尾小短片比全片都感人，拍个电视剧也许还能看看。
126$4873490$失恋33天$公子小丑$2012-06-18 14:58:37$0$文艺男的诞生。。。
127$4873490$失恋33天$masataka$2012-06-18 11:11:30$0$我就喜欢
128$4873490$失恋33天$🌟$2012-06-18 10:47:55$0$真实。。
129$4873490$失恋33天$Queen B$2012-06-18 11:11:52$0$小清新
130$4873490$失恋33天$白大人家的姑娘$2012-06-18 08:27:09$0$人人都可能是黄小仙儿，但不是人人都有王小贱。
131$4873490$失恋33天$森森$2012-06-18 05:54:02$1$原来想的是要不失恋了再看，估计肯定没机会看，今天忍不住看了~~~ 哈哈~ 王小贱一点也不娘~~~~~  说话很贱但是句句都很重点啊~~~~~！  
132$4873490$失恋33天$愚$2012-06-18 08:19:14$0$要不是11.11上画的话估计评价也就那样
133$4873490$失恋33天$云鸢$2012-06-18 04:05:24$0$闺蜜能否变成恋人还需探讨
134$4873490$失恋33天$J.$2012-05-26 06:54:51$0$话多的编剧不是好编剧，虽然我喜欢大丽花几乎所有的日志
135$4873490$失恋33天$fuc-k$2011-11-09 10:52:14$6$又一次的证明，在内地很多电影的宣传是骗人的，可是上当的人依然那么的多
136$4873490$失恋33天$蓝天紫$2012-08-12 16:31:13$0$看的是加长版，整体来说很不错，笑中有泪，爱情道理也挺中肯的。
137$4873490$失恋33天$王小胖$2011-11-15 11:50:20$7$白百何要是演米莱估计比王璐丹好看
138$4873490$失恋33天$阿阿阿PO$2012-05-25 23:07:13$0$你现在持有哪种爱情观 不管怎样 感情里是没有输赢之分的
139$4873490$失恋33天$N$2011-11-08 10:25:36$2$内地电影就这样被矫揉造作的商业化思考给毁了,中国的电影之所以叫电影是因为里面的一言一行都那样舞台化而看不到真实的生活.以后干脆就不用去电影院看国产电影,还是改用纪录片的方式拍电影吧
140$4873490$失恋33天$梦梦梦梦$2017-04-12 23:10:44$9$对白百合一直就喜欢不起来，当时还挺喜欢文章的，有笑点但是也有尿点，多少有点无聊。勉强三分吧
141$4873490$失恋33天$失忆猫咪$2012-05-26 05:47:36$0$哦啦，怎么一翻一批看过没录入的。
142$4873490$失恋33天$SASKIA$2011-11-10 19:46:20$6$如果文章不是在演Gay，這樣的男朋友我也是接受不了的。
143$4873490$失恋33天$YL$2012-06-18 19:29:20$0$眼拙，分不清白百合和王珞丹
144$4873490$失恋33天$哪吒男$2019-12-14 16:06:34$4$21世纪10s 最佳华语商业电影
145$4873490$失恋33天$七心海棠$2012-05-25 23:20:13$0$欢乐脑残片。
146$4873490$失恋33天$一美$2012-05-26 00:57:39$0$真羡慕她，失恋都这么轰烈，连气味都是那么美妙。不敢想象一个那么刻薄的人最后会有那么好的结果。这让纯良的白莲花们情何以堪~
147$4873490$失恋33天$随风的蒲公英$2017-04-12 19:19:02$8$这个电影最感动的就是最后的那个结局，看的自己都哭了！
148$4873490$失恋33天$jackia$2012-08-12 16:42:19$0$对两人的毒舌特别有印象。
149$4873490$失恋33天$阿呆$2012-06-19 02:03:02$0$小贱火了
150$4873490$失恋33天$梁豆豆$2012-05-25 19:11:42$0$有趣极了！！
151$4873490$失恋33天$Cookie$2012-06-18 19:39:22$0$不明白
152$4873490$失恋33天$花落  思量错$2017-04-12 21:43:30$7$编剧台词都挺不错的，出轨风波再刷一次，莫名觉得搞笑。
153$4873490$失恋33天$ThisisMyCity$2012-05-25 19:46:46$0$区别出什么是不重要的
154$4873490$失恋33天$jun.$2012-01-22 06:53:09$1$做作了点吧~~
155$4873490$失恋33天$ss$2012-05-25 15:33:22$0$有点小意思。
156$4873490$失恋33天$蒜 | BOY A✎$2011-11-08 23:38:04$21$每个傻妞的身后都有一个贱男。
157$4873490$失恋33天$皮皮敦敦$2011-11-10 23:34:09$1$出彩部分太多属于文本...
158$4873490$失恋33天$你锅你碗你滚蛋$2012-09-03 21:53:08$0$台词很实用
159$4873490$失恋33天$Clinton$2012-06-18 17:18:18$0$超完美
160$4873490$失恋33天$混沌$2012-06-18 15:52:53$0$小清新
161$4873490$失恋33天$RaissaZhang$2012-06-18 15:01:38$1$有点狗血
162$4873490$失恋33天$虫虫$2012-06-18 13:32:18$0$不是评论：刚好是与男友分手时期上映电影...
163$4873490$失恋33天$curbdog$2012-06-18 14:18:33$0$电视剧电影的成功··让我有点担心，以后这种片子是否会成为主流，那会是一场悲剧·
164$4873490$失恋33天$小红帽恰恰$2012-06-18 14:20:53$0$这部电影的火爆是因为它能与广大女性产生共鸣，再者剧情也是很温暖的 ~ 
165$4873490$失恋33天$Lyx$2012-06-18 17:03:47$0$王小贱
166$4873490$失恋33天$明天星期天$2012-06-18 17:45:46$0$来豆瓣的原因
167$4873490$失恋33天$Kiss&amp;Cry_Joy$2012-06-18 18:51:21$0$我很喜欢。。。。。。。。
168$4873490$失恋33天$雨天女士藍調$2011-11-13 01:26:16$20$真他妈难看，亏你宣传得那么好。
169$4873490$失恋33天$小小$2012-05-25 20:55:26$0$求如何走到金婚的秘诀?
170$4873490$失恋33天$冰山石$2011-11-09 13:24:02$1$哥儿几个能干点正事么~！
171$4873490$失恋33天$小薯莎莎$2011-11-20 07:21:54$0$真恶心。见你大爷去吧
172$4873490$失恋33天$玛雅嬉皮士$2012-05-25 16:13:35$0$可能跟看电影的人不对，所以没什么感觉了。
173$4873490$失恋33天$零度以下的幽雅$2018-11-28 17:38:35$12$又名《全员恶人》
174$4873490$失恋33天$麦乐蒂$2012-08-12 13:09:29$0$自己狠狠给自己一个大嘴巴子。
175$4873490$失恋33天$下一站-琉璃苣$2012-05-25 23:38:34$0$还行吧
