$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
68$20435622$环太平洋：雷霆再起$文白$2018-03-23 08:48:17$29$1.5，第一部的情怀全失
69$20435622$环太平洋：雷霆再起$纤指十三$2018-03-24 18:35:12$31$看特效就够值回票价了。
70$20435622$环太平洋：雷霆再起$是什么在$2018-03-23 09:42:50$28$我虽然想看点不需要用脑的电影，但是也不能这么侮辱我的智商呀……
71$20435622$环太平洋：雷霆再起$呆萌小七$2018-03-27 22:42:23$21$现在的电影就是看看特效，我是为了大甜甜来的，为你加油！
72$20435622$环太平洋：雷霆再起$橘猫爱吃鱼$2018-04-10 16:36:22$22$怪兽凶残怒吼撕碎机甲，带来爆破砸烂的快感和全新的酷炫视觉震撼。
73$20435622$环太平洋：雷霆再起$徐若风$2018-03-26 16:38:58$9$做再多“烂片”的心理预设，也还是没料到能烂到底掉光。作为导演处女作，也不强求有人家奥斯卡导演在美学风格趣味上万分之一的追求，所以根本没在这期待。但这个繁杂冗长、靠各式初级编剧技巧勉强达到糊弄小学生的金酸霉级空洞剧本是要干嘛？前一小时几乎废的。
74$20435622$环太平洋：雷霆再起$乱樂$2018-03-26 15:28:37$16$中间那段真是啰哩啰嗦看的我想睡觉，我是来看特效打斗的
75$20435622$环太平洋：雷霆再起$儒家颜路$2018-04-01 20:36:27$23$说实话吧！真不怎么样，还是喜欢大甜甜的大唐荣耀，在这里大甜甜演的一般般。
76$20435622$环太平洋：雷霆再起$河堤上的貓$2018-03-24 02:30:29$39$還可以吧！覺得動作場面比上一集還多，配樂也不錯，依爽片看很值了
77$20435622$环太平洋：雷霆再起$X$2018-03-24 12:57:35$5$景甜的植入还好，还算自然。这一部的打斗戏份没有上一部多，没那么多钱可以烧了吧
78$20435622$环太平洋：雷霆再起$backspace$2018-03-25 09:03:40$14$你记不记得有一套从天而降的掌法
79$20435622$环太平洋：雷霆再起$MsLouise$2018-03-23 03:25:09$39$不知道说了些什么，只记依偎在谁的肩膀
80$20435622$环太平洋：雷霆再起$女神的秋裤$2018-03-23 21:21:23$16$虽然没能达到预期有些遗憾，但在IMAX屏上看巨大怪兽和机甲，场面和效果还是很不错的，几场打戏依旧震撼人心。可惜熟悉的背景音乐响起，配的画面着实糟糕，新的配乐low到爆。故事有所增强，但这种片要故事就跑偏了。景甜依旧是电影界的演技bug，还给她脸那么多特写？？？
81$20435622$环太平洋：雷霆再起$陆小鸟$2018-03-23 02:06:31$35$第一部之所以有死忠，不是因为怪兽，不是因为机器人对撞和大场面，是因为“机甲崇拜”。在看之前我就说，虽然这个班底就注定是烂片，但只要给我三分钟驾驶机甲的临场感我就满足了，结果一秒钟也没有，说是变形金刚也没人反对。全程面无表情看完，像玩具被抢走后委屈想哭，唯一的亮点是换装之后的景甜。
