$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25824686$变形金刚5：最后的骑士$杰尼杰尼$2017-06-20 08:26:37$4481$从初中拍到我工作，一堆废铜烂铁炸了十年。
79$25824686$变形金刚5：最后的骑士$启明星的指引$2018-03-05 10:05:30$13$变形5部中拍的最烂的一部，比前面的差远了，剧情描述太长，特效的气势感觉也不如前作，希望如果有下一部可以改进些，别浪费了这么好的ip。
80$25824686$变形金刚5：最后的骑士$阿唐的朋友$2017-06-22 22:18:07$59$物理学不能拯救世界，叫Vivian的女人可以。呵呵。
81$25824686$变形金刚5：最后的骑士$bobobolao$2017-07-03 21:15:15$4$得先说一星只是给特效的,其他的...好慢慢说,剧情叙事乱七八糟敢情贝导你还想爆米花大片拍成邪典迷幻感?剪辑学生毕业作品即视感,穿插喜剧桥段冷的一批,但就是要凑你面前'好笑么'尬逗~介绍狂派出场跟xXx3一模一样但我敢说后者整体比它强多了,最后广告商们你们能别再宣传你们根本就没有的国外市场了好吗?
82$25824686$变形金刚5：最后的骑士$明安$2017-06-20 19:36:38$26$Meh, 还是无聊，都拍成这样了怎么还是能鼓起勇气给续集留扣子啊？
83$25824686$变形金刚5：最后的骑士$深夜的阿斯伯格$2017-06-23 06:54:13$7$变形金刚5:最后的圈钱。这回剧情和特效一起消失了。跟动画片一样啊。为什么每次结尾都要总结发言“我是擎天柱..”
84$25824686$变形金刚5：最后的骑士$猪头妖怪$2017-06-24 00:52:34$15$作为人类这个能拍出变形金刚系列并大卖特卖的族群中的一员，我只想对威震天、五面怪和宇宙大帝说：请灭绝我们吧，因为人类不值得存在……
85$25824686$变形金刚5：最后的骑士$大島$2017-06-23 23:16:26$23$毫不自然的宏大叙事方式看得我浑身难受，两颗星不能再多了，再多一颗给霍普金斯和长老。
86$25824686$变形金刚5：最后的骑士$辄馨$2017-06-25 13:46:19$10$强烈支持变形金刚穿越到二战中国#共军有高达不是梦#
87$25824686$变形金刚5：最后的骑士$恶魔的步调$2017-06-23 22:09:21$25$以为推出梅根·福克斯二代目，要发展个什么大叔萝莉CP，却不想杀出个爆乳女梅林……汉尼拔好像全程磕药啊！
88$25824686$变形金刚5：最后的骑士$能工巧匠沙门哥$2017-06-25 08:28:45$7$又睡着了。那个会弹管风琴会唱歌剧的机器人倒蛮萌的。连阿瑟王都扯上了，下次干脆把背景换成中国吧，张铁林扮演乾隆皇帝的不死真身，严肃地说：“我手里有八万亿民族资产有待解冻……”
89$25824686$变形金刚5：最后的骑士$狐狸先生的货车$2017-06-23 15:08:01$29$大片喽，特效好，剧情垃圾基本是标配。还有就是音乐不错，从影院里出来有一瞬间的恍惚。
90$25824686$变形金刚5：最后的骑士$twotwo$2017-06-23 22:00:42$19$想送面锦旗给剧组，可以说是很久没睡过这么好的觉了
91$25824686$变形金刚5：最后的骑士$思考的猫$2017-07-08 22:09:53$6$以前埋怨爆炸贝没剧情，这次看他那令人看了都尴尬的剧情，冷的令人惊叹的自以为是的幽默，你老人家还是无脑打下去吧。
92$25824686$变形金刚5：最后的骑士$Hushnore$2017-07-24 05:38:26$3$麦客贝用作品说话：“我真的不想再拍了。”
93$25824686$变形金刚5：最后的骑士$柯里昂$2017-06-23 17:19:05$27$大师兄，你快醒醒，我是你二师弟啊，地球要被妖怪抓走了…
94$25824686$变形金刚5：最后的骑士$柒吋$2017-06-23 15:04:36$38$一星给特效。
95$25824686$变形金刚5：最后的骑士$奔跑忘记忧伤$2017-06-22 22:16:02$31$特效合格，情节乏善可陈。系列在第三部之后靠情怀在支撑了。
96$25824686$变形金刚5：最后的骑士$心生$2017-06-27 12:01:53$10$看得昏昏欲睡，太无趣了。变形金刚们依然帅，高潮部分视效场面可以。全片槽点极度密集无力吐槽…就这样吧懒得说了。
97$25824686$变形金刚5：最后的骑士$萌$2017-06-24 20:08:33$12$看的时候真的挺担心影院的玻璃窗被震碎……
98$25824686$变形金刚5：最后的骑士$谢谢你们的鱼$2017-06-23 21:54:21$13$感觉看了好几部片子，从《星球大战：：山寨BB8的觉醒》、《亚瑟王密码》、《独立日：更大更强更烧钱》到《血战大帝岭》，整部电影各个方面都非常令人费解，从故事本身，行为逻辑、节奏甚至到视觉轰炸，仿佛就是在看一群人类和CGI角色打鸡血发神经，我不相信我的卖拷贝大神拍得出这样的电影。
99$25824686$变形金刚5：最后的骑士$我初中就一直在练习变成哪吒$2017-06-25 01:48:40$13$那个小姑娘能把刘海缕一缕吗
100$25824686$变形金刚5：最后的骑士$darkcat$2017-06-23 18:02:09$14$速度与激情之汽车人
101$25824686$变形金刚5：最后的骑士$猪头妖怪$2017-06-24 00:52:34$15$作为人类这个能拍出变形金刚系列并大卖特卖的族群中的一员，我只想对威震天、五面怪和宇宙大帝说：请灭绝我们吧，因为人类不值得存在……
102$25824686$变形金刚5：最后的骑士$Hushnore$2017-07-24 05:38:26$3$麦客贝用作品说话：“我真的不想再拍了。”
103$25824686$变形金刚5：最后的骑士$柒吋$2017-06-23 15:04:36$38$一星给特效。
104$25824686$变形金刚5：最后的骑士$暖晴$2017-06-22 12:43:31$28$变5依旧是突突突突哐哐哐哐，然而我却中间睡着两次…心疼我IMAX3D的不打折票价。另外某狗音乐植入的太生硬了吧？堪比之前舒化奶…听说国内保底发行26亿啊？你们加油！
105$25824686$变形金刚5：最后的骑士$资深低阶路人$2017-06-24 16:55:59$6$什么烂东西，看样子爆炸贝的最后一部是真，变5就是捞一笔就跑的样子，什么都往里塞，剧情复杂又弱智，广告比深夜食堂中国版还硬，二手车网站把人恶心坏了。还有黑人是来干嘛的? 好希望柱子哥这集被打死呀，他真是累坏了，一会黑一会白，每集结束仰望星空状，他不烦我烦了。一星给霍爷爷一星给大黄蜂
106$25824686$变形金刚5：最后的骑士$外出偷狗$2017-06-23 20:19:39$5$虽然不像上一部那么随意但还是很扯。很奇怪这一整个系列又没换主创为什么没有自己的特点风格这么不统一，随时随地让人想起各种别的商业片，大概最像的还是速度与激情8。
107$25824686$变形金刚5：最后的骑士$心生$2017-06-27 12:01:53$10$看得昏昏欲睡，太无趣了。变形金刚们依然帅，高潮部分视效场面可以。全片槽点极度密集无力吐槽…就这样吧懒得说了。
108$25824686$变形金刚5：最后的骑士$我初中就一直在练习变成哪吒$2017-06-25 01:48:40$13$那个小姑娘能把刘海缕一缕吗
109$25824686$变形金刚5：最后的骑士$妖比桃花$2017-06-24 13:49:58$7$看画面啊！很好了呀~变形金刚都看到5了还在等剧情的孩子，怪不得别人。
110$25824686$变形金刚5：最后的骑士$寒狐传媒$2017-07-11 07:47:13$3$偷偷告诉你，诸葛亮是个魔法师，造的其实是铁牛流马，另外偶是个幼幼控。
111$25824686$变形金刚5：最后的骑士$猫一$2017-06-25 02:58:10$8$基本上可以说，作为一个电影，它真的不太好，前半段看到一个徐徐展开的宇宙，后半段乱七八糟一阵乱打结束。编剧的野心和宇宙的展开给四星半，整体故事给一星半。但是当我看到擎天柱和大黄蜂我就失去了理智，评分系统坏掉了，我就喜欢他们怎么样啊！爱看大机器人库库库库变形！！
