$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
89$1578714$神奇女侠$方枪枪$2017-06-02 23:03:27$11$整体感觉不错，画面还是暗黑风格，插科打诨搞笑确实是跟漫威学了不少，主要还是选对了人，上战场就来场大长腿维密秀，深度自然是没有的，还好故事不拖沓，人物养眼。3.5
90$1578714$神奇女侠$FF$2017-06-02 10:11:37$69$这远不是一部完美的电影，但是WW毫无破绽的强大真是一股清流，一扫好莱坞电影里抓住女性英雄情感和经历的弱点大做文章的恶心套路。整部电影没有关于女性身体的笑话、处处注意展现女性的力量与智慧，而且男配角的质量也比我想象得好得多，必须给导演鼓掌。Gal Gadot演技一般，但真的是太强太美了。
91$1578714$神奇女侠$思郁$2017-06-07 14:58:22$20$大家被DC的前几部电影给吓坏了，烂到家了，好不容易出个神奇女侠是正常的，自然就顾上劲儿地捧。真心觉得一般，但是不得不承认，盖尔·加朵太美了……
92$1578714$神奇女侠$花痴袭人$2017-06-02 14:25:28$54$真女神。喜欢看到卢平教授和Robin Wright。掉进Chris Pine的蓝眼睛，已收后宫。统统颜值满分，其他不重要。
93$1578714$神奇女侠$荒也$2017-09-16 22:48:24$12$整体感觉是导演并没有打算拍摄一部电影，而是在兜售一个角色。这个角色所带来的资本循环再生产效应，比票房要大的多的多。与《神奇女侠》相对应的周边产品，rpg网络游戏会瞬间膨胀。
94$1578714$神奇女侠$乌鸦火堂$2017-09-20 13:53:53$11$盖尔加朵真美
95$1578714$神奇女侠$文泽尔$2017-06-25 20:45:02$9$要不是盖尔加朵这么美 谁愿意看超人大战哈利波特
96$1578714$神奇女侠$左胸上的吸盘$2017-07-04 22:16:57$18$勉强两分。CG做的普通，剧情完全一泡污，在一个基本没有军事常识和安排了一堆无用配角的小学生三观的故事里烘托出一个圣母婊。盖尔加朵的颜值还是在线的，可惜都已经被操出崽子了，那就没什么可说的了。克里斯派恩还是那张《五路追杀令》里的猥琐歹徒脸，演男主太违和了
97$1578714$神奇女侠$SELVEN$2017-05-31 22:05:26$51$70/100 这是一个新生儿学习人生第一课的故事，尽管开始时观众可能会感到所向披靡的女侠和一战背景搭配的尴尬，但很快你会发现电影用巧妙的角度、诚恳的表演和诙谐的台词讲完了一个令人信服的故事。继承了BvS的战斗美学，更加轻重适宜的配乐，Gadot十分耀眼，但C.Pine毫不逊色。
98$1578714$神奇女侠$Velox$2017-06-01 20:56:29$73$幻想题材的最佳创作方式便是以幻想提供特殊视角，以此来重新审视人类本身。戴安娜虽是超人，导演却没有用“超人逻辑”使其远离观众，而是将她作为不谙世事的“人”来塑造，着眼于价值观的冲突，这是其他英雄片难以企及的高度，也让最后她对人类善恶观的抉择极为真诚可信，没有成为形而上的空中楼阁。
99$1578714$神奇女侠$#瞬间收藏家#$2020-12-21 00:24:09$0$穿越的语言问题是怎么解决的……2016-01-21想看| 当时电影公映时候看到路边两个并排的广告——一边是神奇女侠、一边是小妹子挥着某品牌的手机“自拍更美”，一不小心和会议室里惊呼“怎么来了个女人！”、女秘书关于妇女投票权的台词完美呼应。大赞男女主互动，女主虽然不熟悉现代社会但知识储备在线完全不傻白甜，提出对当时社会的质疑自然而不说教。并肩而立的两个人，这感觉太对了。缺憾：时长可以砍半小时，同样是组队打怪的复古超英比美队1还差一点点，但看完想去看续集就是成功。PS 那个弹钢琴的狙击手是猜火车的屎霸233
100$1578714$神奇女侠$思郁$2017-06-07 14:58:22$20$大家被DC的前几部电影给吓坏了，烂到家了，好不容易出个神奇女侠是正常的，自然就顾上劲儿地捧。真心觉得一般，但是不得不承认，盖尔·加朵太美了……
101$1578714$神奇女侠$SELVEN$2017-05-31 22:05:26$51$70/100 这是一个新生儿学习人生第一课的故事，尽管开始时观众可能会感到所向披靡的女侠和一战背景搭配的尴尬，但很快你会发现电影用巧妙的角度、诚恳的表演和诙谐的台词讲完了一个令人信服的故事。继承了BvS的战斗美学，更加轻重适宜的配乐，Gadot十分耀眼，但C.Pine毫不逊色。
102$1578714$神奇女侠$荒也$2017-09-16 22:48:24$12$整体感觉是导演并没有打算拍摄一部电影，而是在兜售一个角色。这个角色所带来的资本循环再生产效应，比票房要大的多的多。与《神奇女侠》相对应的周边产品，rpg网络游戏会瞬间膨胀。
