$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$2131940$魔兽$隐$2016-06-07 01:00:31$3030$请接着往下拍！
71$2131940$魔兽$月下独酌$2016-06-08 00:46:59$61$熟悉的场景，唤起青春热血的记忆。也许是期待值有点过高了，影片真正出来的效果并不是很震撼。邓肯想容纳的内容太多，削弱了剧情，通片运用CGI技术，有时与实景结合得欠佳，真实感还不够。10年前的转场动画特效就已经美轮美奂格局宏大了，现在反而没有了当年的兴奋。
72$2131940$魔兽$王写写$2016-06-06 18:59:33$40$作为电影，真的很一般，属于可看可不看的。视效很不错，但好莱坞大片视效现在都标配了，做的好都是应该的。人物塑造和叙事结构比较平庸，类似游戏背景的流水账。一部魔兽游戏被压缩成两个小时，显得仓促而疏散了。
73$2131940$魔兽$HOlic$2016-06-07 23:03:10$42$边看边回忆自己的魔兽生涯
74$2131940$魔兽$白马$2016-06-08 02:16:46$35$不失望就是五星。不用背景音乐，镜头凌乱什么的不想说了，第二部开始，暴雪粑粑自己来吧！
75$2131940$魔兽$胖达君$2016-06-08 10:09:33$62$烂烂烂，游戏改编的电影中，除了生化危机系列，就属这个拍得最烂了
76$2131940$魔兽$华莱士$2016-06-08 17:06:15$59$防不胜防啊，四娘穿越到联盟给写的剧本吧。这捞逼电影不清真
77$2131940$魔兽$Inferno$2016-06-08 02:01:05$47$渣。没玩过的会觉得很难看，玩过的觉得更难看。
78$2131940$魔兽$胤祥$2016-06-09 01:30:37$24$[想看2009-10-30]，纯粹是为了宝娃邓肯琼斯。然而看后简直失望到家，片子直接扑街，这剧作稀烂得还不如单机版游戏的任务剧情呢……游戏需要平衡，而电影需要的是确定的价值。这点没搞清，导致剧作从视点开始就混乱不堪。也就美工摄影还不错。这片真的不是腾讯华谊们搞出来圈中国粉丝钱的东西吗？
79$2131940$魔兽$王17$2016-06-08 15:24:11$29$平胸而论，不如war3的剧情模式的过场动画
80$2131940$魔兽$初见$2016-06-06 21:30:21$28$爱过
81$2131940$魔兽$壁虎漫步$2016-06-08 11:03:52$43$垃圾桶！游戏还能改编出什么好东西来？江郎才尽吧
82$2131940$魔兽$大师兄喜欢雨天$2016-06-08 08:01:48$37$太完美了，看的4DX，开场第一人称对战的真实感就已经逆天了。 剧情不是争议点，1.5亿美元的投资能拍出这样史诗的场面还在删了40分钟剧情以后仍然保持剧情的完整，只能用完美来形容了。 有史以来，看过的法师特效最漂亮最好看的电影。
83$2131940$魔兽$TheSkyroar$2016-06-08 13:02:16$38$演员的台词功底如此之差，我尴尬癌都犯了。
84$2131940$魔兽$gumpeh$2016-05-29 11:18:48$30$碾碎漫威，血洗DC，力压指环王！！！！
85$2131940$魔兽$B612行星$2016-06-04 06:16:45$28$听不懂德语配音，完全认不出来吴彦祖！
86$2131940$魔兽$PointyEars$2016-06-08 14:59:30$31$本来想二刷天启的，结果发现imax全被占了。作为一个指环王粉，作为一个叉男粉，没看过也不能阻止我打差评
87$2131940$魔兽$草威$2016-06-09 19:42:00$19$没玩过魔兽世界，但依然觉得过瘾。这个系列电影的第一部已经顺利地交代了世界观、合理地拉开了仇恨的序幕，够了。战斗才刚刚开始。（说句题外话，为了回忆，为了情怀打五星，怎么了？评分本来就是主观的，反倒是那些“为了中和一下”的人，不可原谅的无聊。）
88$2131940$魔兽$夜雨汀汐$2016-06-08 09:09:24$28$魔兽不是一个游戏，而是一个世界。
89$2131940$魔兽$woo$2016-06-08 03:58:57$32$作为多年前的玩家，电影不及预期，剧情不如资料片，虽然宣传这么大，远不如同期的天启啊
90$2131940$魔兽$MixBai$2016-06-08 15:06:25$32$打分的都是情怀啊
91$2131940$魔兽$走过路过嘴一句$2016-06-08 19:09:31$31$十年前的这个夜晚我还在为了高考而失眠，十年前的这个暑假，从闪金镇踏出了我圣骑的第一步。十年前那个表白让我做他女朋友的男孩，如今就坐在我旁边和我一起看首映。魔兽是我整个青春的记忆。如此怀念，不能忘记。
92$2131940$魔兽$芥末蘸酱$2016-06-08 21:46:13$20$没啥拍出来的必要，整部电影下来没有一场戏让人记得住，和《猎神》差不多水准，豆瓣评分却差了3分。
93$2131940$魔兽$除了你还有谁$2016-06-08 07:56:19$25$我是一名wower 我感谢我的表哥带我走进了艾泽拉斯 我在这里哭过笑过闹过 我在这里走过了八年 从高三到现在 我始终忘不了 我的公会他叫友谊长存 始终忘不了我的家乡 他叫雷霆崖 始终忘不了我是一名鹌鹑 为了部落
94$2131940$魔兽$忧郁小猫猫$2016-06-30 10:12:03$13$太无趣了，中间几次想玩手机，看完魔兽半小时后马上看了x战警，观影感觉对比强烈，x战警从剧情和视觉效果、场面来说都比魔兽好看
95$2131940$魔兽$汽车大师$2016-06-08 21:09:36$27$现在回想起来魔戒三部曲近乎奇迹了，很重要一点也许在于当时尚无快消式动作捕捉的存在
96$2131940$魔兽$舒农$2016-06-07 22:29:05$49$没驾驭好太多的故事线，让中间一个小时特别的无聊和冗长。拍大场面战争的能力也亟待提升。
97$2131940$魔兽$IanIanIan-$2016-06-08 22:09:03$30$失望大于期望
98$2131940$魔兽$sansHu$2016-06-08 12:54:19$34$不想评论！坑
99$2131940$魔兽$一木宅菌$2016-06-08 16:48:29$29$故事一般，特效不错，这是粉丝向做成这样也不错，不过我是外行看热闹，看的云里雾里
100$2131940$魔兽$除了你还有谁$2016-06-08 07:56:19$25$我是一名wower 我感谢我的表哥带我走进了艾泽拉斯 我在这里哭过笑过闹过 我在这里走过了八年 从高三到现在 我始终忘不了 我的公会他叫友谊长存 始终忘不了我的家乡 他叫雷霆崖 始终忘不了我是一名鹌鹑 为了部落
