$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
147$24879858$分手大师$24city$2014-06-28 21:52:23$9$算不上烂，是俗，笑料拼凑硬咯吱，但有些点子用的特别好，作为娱乐片来说是真的尽到本分了，邓超卖力的个人秀的确如宣传一样“贱”味十足，不带偏见的看，直接观感还是挺欢乐的，而且从市场角度来看也是成功的，没必要带着一种高格调去抨击这种市场需求产物，本来就不是影迷向的电影。
148$24879858$分手大师$黄瓜大爹$2014-05-29 13:07:20$4$看预告片就很恶心了，聒噪+浮夸
149$24879858$分手大师$mia大桐$2014-10-03 15:24:53$6$看几分钟看不下去了，倒是知道杨幂究竟长啥样了
150$24879858$分手大师$丁小云$2014-06-27 19:19:24$6$作为喜剧类型片，在我看来《分手大师》比《泰囧》以及冯小刚的喜剧电影好看啊，为什么在豆瓣恶评如潮呢？个人评分三星半吧……
151$24879858$分手大师$素年锦时$2017-04-10 21:14:43$7$嗯，没啥好说的
152$24879858$分手大师$C c$2017-03-05 17:29:55$6$这的确不是一部电影。只能说是各种段子的集锦，并非常勉强的将其拼凑在一起。讲述是不顺的，剪辑是乱来的，以至于没有故事没有转场。
153$24879858$分手大师$维希希图$2014-07-10 20:28:41$4$邓超虽然三俗 但是演得也太卖力了 讨生活不容易 辛苦分给一星。幂幂好像同学，再给一星。
154$24879858$分手大师$闫妮$2015-02-01 14:19:24$5$无厘头。。
155$24879858$分手大师$养花儿的🌸$2014-06-09 19:18:56$4$柳岩0分！！
156$24879858$分手大师$豆瓣酱$2017-01-16 18:28:24$9$邓超怎么就爱演这种喜剧片，剧情毫无营养，不走心。
157$24879858$分手大师$罐儿图样图森破$2014-06-30 22:41:46$5$贱，很贱，灰常贱。。
158$24879858$分手大师$听风是雨$2018-05-16 22:29:08$7$两颗星给超哥吧，其他不多说了，好不好大家长眼了
159$24879858$分手大师$瓶子不能倒$2016-11-23 23:25:00$17$有的电影只是没有营养，硬撑着头皮也可以看下去。分手大师则是那种令人恶心作呕的类型，没有任何价值存在。从摄影到情节到演员表演全部是恶俗之极，无时无刻不充斥着一种用力。喜剧并不是那么好走的，俞白眉和邓超的合作基本可以盖章烂片，别浪费自己的时间与金钱，更别荼毒自己的眼睛。
160$24879858$分手大师$今 敏$2014-06-26 20:07:26$14$爆米花喜剧纯粹图个乐子 其实话剧比起分手大师更喜欢翠花 但是电影化这部更简单吧 不过一条随便又莫名其妙的亲情线还有没看过话剧不知道九儿梗 剧情上太凌乱 但其实就是怎么贱怎么搞怎么来 从彩蛋能看出准备了更多笑点元素没用上 总之太乱了 
161$24879858$分手大师$卡卡卡卡卡卡卡$2017-03-04 22:16:51$8$你会笑，但也只是笑笑
162$24879858$分手大师$幻觉的黎明$2014-07-27 22:05:29$4$从头到尾，真的有被笑到，这就够了。
163$24879858$分手大师$复仇之渴$2014-06-21 13:45:38$81$看提前点映完后，被我评为年度十大烂片之一。没剧情，只有很乱的不知所云，梗很生硬。
164$24879858$分手大师$肉肉$2014-06-14 14:32:40$4$没看过 但是特别讨厌光线这家公司！根本就是个无赖单位 而且选择和《变4》同一天上映 不偷人家的票房才怪！反正我肯定会去看变4 不会看这个垃圾
165$24879858$分手大师$拿苏$2014-09-04 13:00:59$5$徐峥是好片保障，邓超成烂片保障了
166$24879858$分手大师$下一站守候$2017-03-19 16:22:02$6$超哥呀，你是怎么了😂
167$24879858$分手大师$柏林苍穹下$2014-07-16 21:54:56$4$又培养出我朝新一批烂品味观众，片名改为《二货正传》也许会打三星。
168$24879858$分手大师$ifish$2014-07-17 17:42:57$6$什么鸡巴玩意...
169$24879858$分手大师$汪金卫$2014-07-18 15:10:15$3$我一向讨厌反感类似本片和《泰囧》那种“装疯卖傻犯贱”式喜剧。这是那种最烂最蠢最下等的喜剧。邓超和杨幂表演都很卖力，但每当你觉得电影还算能看的时候，它都会以一通超级二逼的耍贱来击碎你的些许好感。电影逻辑和智商也如腹泻般一泻千里。其营销的“逼逼扒逼波逼”广场舞也与电影毫无关系。一星半
170$24879858$分手大师$黑狗成$2014-10-26 20:27:34$7$可惜光线一时半会儿是不能改破产了。
171$24879858$分手大师$Mr. Infamous$2014-10-04 23:55:47$4$基本靠邓超这逗比撑起来啊，几乎只能看他那些鸡贱鸡贱的笑与逗了。这孩子也是蛮拼的，连几片小肉都不忘盘算的。也许我一个人看会笑不出来，但三条汉子一起打发时间还是可以互相启发笑点的。好吧，给大众公认的烂片打到三星，是不是要补一句什么敬好一个兄弟夜才好意思捏？[虚伪哭了]
172$24879858$分手大师$巴喆$2014-09-25 21:48:48$4$剧本的创意也许是盗用了韩国电影《悲伤电影》，这也无可厚非，但是这剧情这笑点真的是太僵硬太浮夸太无聊了太TM蠢了！什么？演技？
173$24879858$分手大师$薄荷$2017-04-10 19:10:51$8$无聊的时候看看乐一乐
174$24879858$分手大师$品茗听雨轩$2017-05-12 19:27:44$5$这个片真的太恶搞了，除了恶搞我也只看出了恶搞，还好当时没去影院看，没有浪费电影票钱。邓超还是做演员比较好
