,movie_id,movie_vote,movie_ex_score,movie_shortcom_num,movie_nlp_var,movie_vote_var
11,10807909,7.7,0.0809691671444476,106331,0.09293561893055949,0.033103360000000005
12,10831445,8.3,0.05639696003022114,87321,0.062479860037776426,0.03206536
13,10877448,9.2,0.05357326197591965,93,0.04964797746989956,0.06927439999999999
14,11498192,9.3,0.06543737500926193,394,0.06154721876157742,0.08099799999999999
15,11500290,8.9,0.06434601924246297,41,0.0658013240530787,0.05852480000000001
16,11510624,7.8,0.06987717720480544,98528,0.07964897150600679,0.030790000000000005
17,11529526,7.6,0.06497320761595536,162715,0.0734310095199442,0.031142000000000003
18,11584063,9.1,0.07578917018634879,236,0.07981996273293597,0.059666
19,11589036,7.8,0.07117589269680502,82345,0.08133102587100628,0.03055536000000001
20,11593132,9.0,0.06148122131157582,409,0.06319372663946977,0.054631200000000005
21,1291543,8.8,0.05351108254097903,135837,0.05602605317622378,0.0434512
22,1291546,9.6,0.05961080666726863,446759,0.04929350833408578,0.10088000000000001
23,1291550,8.1,0.0654349279793388,64926,0.07259285997417349,0.0368032
24,1291851,8.6,0.05187060652797347,34000,0.054966918159966835,0.03948536
25,1291858,9.3,0.06379016133927519,117826,0.061671001674093964,0.07226680000000003
26,1291875,8.9,0.045473079261445976,115419,0.045342049076807465,0.0459972
27,1292213,9.2,0.06086922041082815,254257,0.05998682551353518,0.0643988
28,1292287,8.7,0.06697415324059083,66324,0.07330299155073855,0.0416588
29,1292365,9.3,0.057619085376432976,176871,0.05413911672054122,0.07153895999999998
30,1292895,8.6,0.04224721180713371,19405,0.042846274758917134,0.03985096
31,1293172,9.3,0.05189702436523963,178453,0.04685848045654955,0.07205119999999997
32,1293237,9.1,0.039300592878929105,13170,0.035232841098661385,0.0555716
33,1293323,8.7,0.06122658609114761,57142,0.06546223261393451,0.04428399999999999
34,1296218,8.9,0.049483973491927,19278,0.04961006686490874,0.048979599999999984
35,1297518,8.7,0.07858161117861906,67426,0.08766631397327383,0.042242800000000004
36,1297747,8.1,0.0666121667718246,41981,0.07628190846478075,0.027933200000000002
